,healthy_GSM4205771,healthy_GSM4205772,healthy_GSM4205773,healthy_GSM4205774,disease_GSM4205775,disease_GSM4205776,disease_GSM4205777,disease_GSM4205778
ENSG00000130783,0,0,0,0,0,0,0,0
ENSG00000130787,1,2,0,0,2,5,1,8
ENSG00000130803,9,18,13,8,10,10,9,9
ENSG00000130810,19,35,10,10,27,16,8,13
ENSG00000130811,347,810,270,200,409,297,272,446
ENSG00000130812,0,0,0,0,1,0,0,0
ENSG00000130813,32,63,20,9,47,45,29,35
ENSG00000130816,294,764,483,387,265,439,352,408
ENSG00000130818,22,33,10,19,25,22,19,24
ENSG00000130821,14,38,3,0,17,13,8,15
ENSG00000130822,0,0,0,0,0,0,0,0
ENSG00000130826,174,496,251,199,159,179,179,250
ENSG00000130827,46,121,66,27,68,71,37,84
ENSG00000130829,0,0,0,0,0,0,0,0
ENSG00000130830,57,109,55,37,40,33,43,31
ENSG00000130844,21,38,11,6,33,19,16,30
ENSG00000130856,28,53,32,19,21,28,30,19
ENSG00000130876,0,0,0,0,0,0,0,0
ENSG00000130881,27,61,4,11,21,15,7,18
ENSG00000130921,56,126,104,60,47,62,68,64
ENSG00000130935,50,159,106,67,62,58,53,64
ENSG00000130939,33,87,75,38,37,58,48,88
ENSG00000130940,0,0,4,0,0,1,3,0
ENSG00000130943,0,0,0,0,0,0,0,0
ENSG00000130948,0,0,0,0,0,0,0,0
ENSG00000130950,0,0,0,0,0,0,0,0
ENSG00000130956,79,233,125,73,79,80,69,89
ENSG00000130957,0,0,0,0,0,0,0,0
ENSG00000130958,14,89,59,30,45,50,31,47
ENSG00000130962,11,36,29,22,19,19,11,19
ENSG00000130985,426,945,302,216,582,386,316,407
ENSG00000130988,4,31,2,15,5,10,15,10
ENSG00000130997,2,1,0,0,1,2,1,4
ENSG00000131007,0,0,0,0,0,0,0,0
ENSG00000131013,66,134,143,85,43,119,132,150
ENSG00000131015,1,2,8,4,1,3,1,5
ENSG00000131016,151,434,442,274,491,816,651,1140
ENSG00000131018,30,62,22,36,51,73,33,95
ENSG00000131019,0,0,0,0,0,0,0,0
ENSG00000131023,9,25,24,9,12,15,13,35
ENSG00000131037,4,6,0,8,2,6,3,13
ENSG00000131042,0,0,0,0,0,0,0,0
ENSG00000131043,31,56,5,10,49,28,24,29
ENSG00000131044,0,0,0,0,0,0,0,0
ENSG00000131050,0,0,0,0,0,0,0,0
ENSG00000131051,331,839,399,360,456,464,437,567
ENSG00000131055,0,0,0,0,0,0,0,0
ENSG00000131059,0,0,0,0,0,0,0,0
ENSG00000131061,4,21,8,8,4,5,4,4
ENSG00000131067,7,27,0,1,19,15,2,9
ENSG00000131068,0,0,0,0,0,0,0,0
ENSG00000131069,20,35,14,13,19,21,12,13
ENSG00000131080,41,95,60,49,22,35,39,38
ENSG00000131089,14,35,29,13,14,41,27,23
ENSG00000131094,0,0,0,0,1,0,1,4
ENSG00000131095,0,0,0,0,0,0,0,0
ENSG00000131096,0,0,0,0,0,0,0,0
ENSG00000131097,0,0,0,0,0,0,0,0
ENSG00000131100,198,565,262,260,216,219,207,202
ENSG00000131115,11,13,27,5,13,8,9,10
ENSG00000131116,374,817,203,196,570,255,186,260
ENSG00000131126,0,0,0,0,0,0,0,0
ENSG00000131127,1,1,11,7,8,2,1,5
ENSG00000131142,0,0,0,0,0,0,0,0
ENSG00000131143,741,2087,604,590,958,768,710,1002
ENSG00000131148,54,212,54,45,72,68,77,64
ENSG00000131149,19,77,63,37,40,40,44,52
ENSG00000131152,0,0,0,0,0,0,0,0
ENSG00000131153,31,92,26,38,25,23,9,29
ENSG00000131165,90,253,124,65,92,108,96,140
ENSG00000131171,69,219,155,101,111,146,121,257
ENSG00000131174,188,570,256,176,337,277,246,243
ENSG00000131183,0,0,0,0,0,0,0,0
ENSG00000131187,0,0,3,0,2,1,0,1
ENSG00000131188,7,15,10,5,10,15,4,4
ENSG00000131196,11,18,20,16,22,17,10,22
ENSG00000131203,0,0,0,0,0,0,0,0
ENSG00000131233,0,0,0,0,0,0,0,0
ENSG00000131236,671,1815,1063,759,633,633,571,678
ENSG00000131238,72,206,66,80,93,77,69,98
ENSG00000131242,1,1,0,0,0,3,7,6
ENSG00000131263,39,119,96,38,30,51,50,61
ENSG00000131264,0,0,0,0,0,0,0,0
ENSG00000131269,16,36,33,16,23,40,34,45
ENSG00000131323,24,50,37,27,25,33,27,33
ENSG00000131351,16,28,23,20,14,11,6,14
ENSG00000131355,0,0,0,0,0,0,0,0
ENSG00000131368,69,166,68,30,58,57,51,78
ENSG00000131370,9,50,35,22,17,26,24,35
ENSG00000131373,7,45,30,8,11,21,17,9
ENSG00000131374,75,185,73,63,88,117,90,137
ENSG00000131375,13,42,42,24,16,30,33,47
ENSG00000131378,122,316,137,117,111,142,135,188
ENSG00000131379,0,0,0,0,0,0,0,0
ENSG00000131381,52,142,65,26,44,53,50,61
ENSG00000131386,48,127,57,45,23,23,19,31
ENSG00000131389,4,28,1,2,17,30,24,30
ENSG00000131398,0,0,0,0,0,1,0,0
ENSG00000131400,0,0,0,0,0,0,0,0
ENSG00000131408,21,46,51,45,25,38,18,38
ENSG00000131409,0,0,0,0,0,0,1,0
ENSG00000131435,132,361,133,44,212,160,123,227
ENSG00000131437,42,75,94,42,46,47,46,57
ENSG00000131446,151,356,139,105,149,128,110,121
ENSG00000131459,18,53,10,11,31,15,22,28
ENSG00000131462,105,325,122,101,150,86,64,81
ENSG00000131467,142,364,134,108,118,91,105,108
ENSG00000131469,1040,4035,1740,1210,1420,1349,1229,1131
ENSG00000131470,14,42,31,20,16,14,16,8
ENSG00000131471,0,0,0,0,0,0,0,1
ENSG00000131473,242,591,297,219,261,313,226,255
ENSG00000131475,76,191,81,66,66,81,61,83
ENSG00000131477,0,0,4,0,0,1,0,2
ENSG00000131480,0,0,0,0,0,0,0,0
ENSG00000131482,0,0,0,0,0,0,0,0
ENSG00000131484,0,0,0,0,0,0,0,0
ENSG00000131495,134,318,200,152,175,193,144,195
ENSG00000131503,7,15,4,14,14,12,5,12
ENSG00000131504,106,241,247,130,65,93,117,142
ENSG00000131507,75,242,135,76,98,106,112,98
ENSG00000131508,221,514,235,132,226,205,228,233
ENSG00000131538,0,0,0,0,0,0,0,0
ENSG00000131548,0,0,0,0,0,0,0,0
ENSG00000131558,78,197,76,47,89,92,85,87
ENSG00000131584,19,25,20,1,19,20,14,20
ENSG00000131591,6,2,1,7,7,7,2,7
ENSG00000131620,0,0,0,0,4,7,5,4
ENSG00000131626,52,115,115,66,60,86,96,128
ENSG00000131634,33,83,46,23,35,23,22,40
ENSG00000131650,0,0,0,0,0,0,0,0
ENSG00000131652,1,1,1,7,3,0,1,1
ENSG00000131653,62,177,85,43,62,86,51,49
ENSG00000131668,0,0,0,0,0,0,0,0
ENSG00000131669,58,167,91,56,81,73,62,112
ENSG00000131686,0,0,0,0,0,0,0,0
ENSG00000131697,2,14,2,7,2,8,3,8
ENSG00000131711,1213,3388,1946,1279,2163,2360,2102,2700
ENSG00000131721,0,0,0,0,0,0,0,0
ENSG00000131724,53,108,78,47,60,86,70,120
ENSG00000131725,11,44,22,13,12,24,26,30
ENSG00000131730,1,2,0,3,0,2,5,3
ENSG00000131732,34,144,96,87,73,94,77,80
ENSG00000131737,0,11,0,0,49,19,16,23
ENSG00000131738,0,0,0,0,0,2,0,2
ENSG00000131746,0,0,0,0,0,0,0,0
ENSG00000131747,924,2352,1649,1099,864,909,952,1327
ENSG00000131748,29,157,41,42,43,47,29,34
ENSG00000131759,9,34,17,5,17,23,11,11
ENSG00000131771,0,0,0,0,0,0,0,2
ENSG00000131773,36,85,55,57,39,61,47,34
ENSG00000131778,68,178,122,88,54,74,60,84
ENSG00000131779,35,106,39,38,46,59,46,60
ENSG00000131781,3,1,0,0,0,0,1,0
ENSG00000131788,34,55,28,16,44,30,35,32
ENSG00000131791,26,24,52,29,16,27,32,36
ENSG00000131808,0,0,0,0,0,0,0,0
ENSG00000131828,90,243,179,87,107,130,93,87
ENSG00000131831,1,3,0,2,13,20,18,17
ENSG00000131844,27,59,54,28,31,28,35,26
ENSG00000131845,14,22,20,6,15,14,7,15
ENSG00000131848,6,17,5,3,2,4,8,6
ENSG00000131849,2,29,4,1,7,4,8,7
ENSG00000131864,0,0,0,0,0,0,0,0
ENSG00000131871,114,324,266,164,106,168,146,152
ENSG00000131873,29,66,40,21,50,68,44,69
ENSG00000131876,46,109,67,63,39,48,30,29
ENSG00000131899,16,73,49,37,17,24,19,12
ENSG00000131910,0,0,0,0,0,0,0,0
ENSG00000131914,0,0,0,0,0,0,0,0
ENSG00000131931,4,17,23,6,5,11,13,12
ENSG00000131941,7,8,6,0,2,2,1,3
ENSG00000131943,32,80,31,29,45,58,44,48
ENSG00000131944,7,38,3,2,14,8,8,11
ENSG00000131951,0,0,0,0,0,0,0,0
ENSG00000131966,93,292,114,43,116,79,74,78
ENSG00000131969,0,0,0,0,0,0,0,0
ENSG00000131979,0,0,2,0,0,1,0,0
ENSG00000131981,142,683,508,349,361,560,593,609
ENSG00000132000,10,19,0,2,12,17,16,15
ENSG00000132002,176,408,184,121,186,173,152,226
ENSG00000132003,4,4,0,0,0,1,2,0
ENSG00000132004,9,13,1,8,7,12,8,19
ENSG00000132005,19,41,26,20,23,24,28,54
ENSG00000132010,1,7,1,4,1,0,2,0
ENSG00000132016,0,3,3,1,0,0,0,0
ENSG00000132017,9,9,6,2,2,3,6,1
ENSG00000132024,12,16,4,0,23,10,12,12
ENSG00000132026,0,0,0,0,0,0,0,0
ENSG00000132031,2,12,10,7,4,3,0,1
ENSG00000132109,4,28,11,5,8,10,10,3
ENSG00000132122,2,23,10,7,9,14,10,14
ENSG00000132128,63,233,110,53,64,71,64,54
ENSG00000132141,4,8,9,1,4,15,4,5
ENSG00000132153,53,125,101,52,65,69,65,95
ENSG00000132155,56,110,45,40,44,45,38,31
ENSG00000132164,0,0,0,0,0,0,0,0
ENSG00000132170,15,41,14,21,2,12,9,8
ENSG00000132182,0,0,0,0,0,0,0,0
ENSG00000132185,0,0,0,2,0,0,0,1
ENSG00000132196,3,0,8,0,4,10,4,2
ENSG00000132199,17,57,29,8,13,23,18,49
ENSG00000132204,0,0,0,0,1,0,0,5
ENSG00000132205,1,5,0,0,12,10,5,9
ENSG00000132207,0,0,0,0,0,0,0,0
ENSG00000132254,36,64,30,28,31,33,21,42
ENSG00000132256,17,46,40,7,23,23,15,35
ENSG00000132259,0,0,0,0,0,0,0,0
ENSG00000132274,22,68,63,26,18,16,19,23
ENSG00000132275,24,55,37,17,33,19,31,39
ENSG00000132286,18,68,32,19,43,36,49,31
ENSG00000132294,106,315,203,127,118,185,136,196
ENSG00000132297,0,0,0,0,0,0,0,0
ENSG00000132300,79,193,126,95,81,119,106,111
ENSG00000132305,118,342,222,108,101,132,134,164
ENSG00000132313,34,115,39,64,28,54,46,53
ENSG00000132321,0,0,0,0,0,0,0,0
ENSG00000132323,33,72,71,43,36,36,33,39
ENSG00000132326,3,11,18,6,6,11,4,4
ENSG00000132329,31,70,34,12,43,40,36,51
ENSG00000132330,8,36,12,4,7,4,3,8
ENSG00000132334,2,0,6,3,4,4,5,11
ENSG00000132341,761,2401,1117,794,744,946,908,873
ENSG00000132356,27,102,71,41,24,30,44,37
ENSG00000132357,13,41,49,13,7,26,13,21
ENSG00000132359,0,0,0,4,1,0,3,4
ENSG00000132361,83,143,46,57,74,47,39,70
ENSG00000132376,20,63,24,12,28,22,20,26
ENSG00000132382,28,72,61,35,18,21,33,32
ENSG00000132383,61,163,68,64,69,75,59,55
ENSG00000132386,24,80,45,16,38,30,46,46
ENSG00000132388,55,94,43,45,48,35,32,32
ENSG00000132394,8,6,11,9,9,5,12,13
ENSG00000132405,8,57,41,16,16,18,12,27
ENSG00000132406,4,25,9,13,8,2,8,8
ENSG00000132423,16,52,15,29,16,9,9,5
ENSG00000132424,259,725,374,162,565,505,466,590
ENSG00000132429,17,54,38,16,19,9,18,19
ENSG00000132432,125,458,273,279,143,190,197,154
ENSG00000132434,47,123,37,27,32,27,34,44
ENSG00000132436,14,42,26,13,13,15,15,16
ENSG00000132437,0,0,0,0,0,0,0,0
ENSG00000132446,0,0,0,0,0,0,0,0
ENSG00000132463,158,414,237,166,127,167,145,136
ENSG00000132464,0,0,0,0,0,0,0,0
ENSG00000132465,1,2,0,0,8,4,6,1
ENSG00000132466,160,400,351,193,206,266,185,275
ENSG00000132467,80,293,161,107,105,126,103,114
ENSG00000132470,0,0,0,0,0,3,0,0
ENSG00000132471,59,151,78,32,101,115,108,101
ENSG00000132475,722,2031,1207,853,1011,1083,1034,1234
ENSG00000132478,8,22,13,14,14,15,20,6
ENSG00000132481,2,12,5,3,23,9,18,10
ENSG00000132485,141,343,277,243,156,310,266,406
ENSG00000132507,175,325,224,188,173,179,185,173
ENSG00000132510,10,11,2,2,11,10,4,7
ENSG00000132514,0,0,0,0,0,0,0,0
ENSG00000132517,0,0,0,0,0,0,0,0
ENSG00000132518,0,0,0,0,0,1,0,2
ENSG00000132522,12,26,10,2,9,6,8,10
ENSG00000132530,20,43,51,36,38,107,84,105
ENSG00000132535,46,90,47,36,69,53,44,59
ENSG00000132541,31,63,34,13,23,32,35,25
ENSG00000132549,19,52,55,25,15,51,35,66
ENSG00000132554,0,0,0,0,0,0,0,0
ENSG00000132561,31,101,60,33,58,48,55,55
ENSG00000132563,21,45,37,18,32,25,20,22
ENSG00000132570,11,36,8,16,6,9,13,12
ENSG00000132581,42,155,52,54,52,31,42,21
ENSG00000132589,147,326,96,58,146,126,76,113
ENSG00000132591,23,86,23,7,23,18,22,26
ENSG00000132600,25,63,18,8,23,19,26,23
ENSG00000132603,35,104,82,20,19,30,35,32
ENSG00000132604,56,113,122,65,50,70,58,92
ENSG00000132612,141,301,143,94,135,93,89,128
ENSG00000132613,78,135,78,48,163,111,87,110
ENSG00000132622,0,0,0,0,0,0,0,0
ENSG00000132623,2,9,0,2,6,3,0,0
ENSG00000132631,0,0,0,0,0,0,0,0
ENSG00000132635,51,100,62,43,69,74,56,59
ENSG00000132639,46,89,96,43,5,8,11,10
ENSG00000132640,22,55,22,26,15,23,15,21
ENSG00000132646,86,368,163,145,61,46,60,41
ENSG00000132661,14,48,26,27,24,17,18,14
ENSG00000132664,15,53,23,10,15,18,7,13
ENSG00000132669,54,146,175,90,41,67,44,40
ENSG00000132670,43,75,75,66,37,76,44,88
ENSG00000132671,0,0,0,0,0,0,0,0
ENSG00000132676,47,239,158,102,64,107,108,109
ENSG00000132677,0,0,0,0,0,0,0,0
ENSG00000132680,12,40,17,14,18,11,13,17
ENSG00000132681,0,0,0,0,0,0,0,0
ENSG00000132688,208,450,285,205,257,319,286,361
ENSG00000132692,0,0,0,0,0,2,0,1
ENSG00000132693,0,0,0,0,0,0,0,0
ENSG00000132694,15,25,43,31,13,25,29,36
ENSG00000132698,0,0,0,0,1,0,0,0
ENSG00000132702,0,0,0,0,0,0,0,0
ENSG00000132703,0,0,0,0,0,0,0,0
ENSG00000132704,0,0,0,0,0,0,0,0
ENSG00000132716,99,181,94,36,121,62,58,58
ENSG00000132718,78,202,95,57,87,135,109,116
ENSG00000132740,5,34,16,13,13,22,7,27
ENSG00000132744,0,0,0,0,0,0,0,0
ENSG00000132746,0,0,0,0,0,0,0,0
ENSG00000132749,2,4,5,0,1,1,1,0
ENSG00000132763,7,36,12,9,9,12,9,12
ENSG00000132768,11,34,10,14,21,17,12,15
ENSG00000132773,12,31,9,21,13,16,13,15
ENSG00000132780,128,358,310,147,143,192,147,245
ENSG00000132781,12,12,3,4,6,4,8,16
ENSG00000132792,88,217,83,66,115,51,57,77
ENSG00000132793,1,4,0,0,15,17,4,8
ENSG00000132801,5,10,3,0,5,8,0,4
ENSG00000132819,6,20,15,7,16,10,16,14
ENSG00000132821,0,0,0,0,0,0,0,0
ENSG00000132823,18,75,44,43,31,33,46,34
ENSG00000132824,152,465,326,268,162,154,151,142
ENSG00000132825,5,13,13,5,9,12,11,10
ENSG00000132832,0,0,0,0,0,0,0,0
ENSG00000132837,0,0,0,0,0,0,1,0
ENSG00000132840,4,1,13,3,5,6,2,2
ENSG00000132842,18,110,140,100,32,83,71,88
ENSG00000132846,6,10,6,2,15,11,1,15
ENSG00000132849,1,0,3,4,2,6,4,5
ENSG00000132854,0,0,0,0,0,0,0,0
ENSG00000132855,0,0,0,0,0,0,0,0
ENSG00000132872,0,0,0,0,0,0,0,0
ENSG00000132874,0,0,0,0,0,0,0,0
ENSG00000132879,11,26,6,4,24,17,11,11
ENSG00000132881,2,3,0,2,2,10,1,0
ENSG00000132906,3,8,1,0,5,5,14,2
ENSG00000132911,0,0,0,0,0,0,0,0
ENSG00000132912,70,214,79,58,80,62,69,104
ENSG00000132915,0,0,0,0,0,3,0,2
ENSG00000132932,0,0,2,0,0,1,0,2
ENSG00000132938,0,0,0,2,0,0,0,0
ENSG00000132950,3,15,23,14,9,10,12,16
ENSG00000132952,9,24,8,24,4,10,5,14
ENSG00000132953,5,20,10,8,2,7,9,7
ENSG00000132958,0,0,0,0,0,0,0,0
ENSG00000132963,603,1753,637,585,630,467,519,591
ENSG00000132964,12,21,7,7,6,8,8,9
ENSG00000132965,1,0,0,0,0,0,2,0
ENSG00000132970,28,131,63,74,21,17,24,27
ENSG00000132972,0,0,0,0,0,0,0,0
ENSG00000132975,0,0,0,0,0,0,0,0
ENSG00000133019,0,0,0,0,0,0,0,0
ENSG00000133020,0,0,0,0,0,0,2,0
ENSG00000133026,97,296,213,164,131,195,211,283
ENSG00000133027,24,76,23,13,29,25,27,21
ENSG00000133028,73,155,100,47,69,68,68,80
ENSG00000133030,199,483,163,123,236,223,189,269
ENSG00000133048,0,0,0,0,0,3,2,1
ENSG00000133055,0,0,0,0,0,2,2,1
ENSG00000133056,0,1,2,0,1,0,0,1
ENSG00000133059,167,333,199,132,167,171,153,246
ENSG00000133063,0,0,0,0,0,0,0,0
ENSG00000133065,16,48,22,35,18,22,26,33
ENSG00000133067,0,0,0,0,0,0,0,0
ENSG00000133069,9,13,4,7,8,6,14,14
ENSG00000133083,0,0,0,0,0,2,1,1
ENSG00000133101,0,0,0,0,0,2,0,5
ENSG00000133103,6,11,17,11,10,10,11,11
ENSG00000133104,106,256,150,107,104,103,81,131
ENSG00000133105,0,0,0,0,0,0,0,0
ENSG00000133106,4,8,17,5,3,20,17,26
ENSG00000133107,0,0,0,0,2,0,2,0
ENSG00000133110,15,64,30,23,60,81,94,104
ENSG00000133111,4,11,8,4,4,10,8,5
ENSG00000133112,2832,9952,3438,2668,5200,4594,4364,5018
ENSG00000133114,35,67,40,49,19,54,39,40
ENSG00000133115,0,0,0,0,0,0,0,0
ENSG00000133116,0,0,0,0,0,0,0,0
ENSG00000133119,14,50,23,30,8,21,23,22
ENSG00000133121,28,88,56,46,30,44,39,68
ENSG00000133124,0,0,0,0,0,0,0,0
ENSG00000133131,29,92,95,51,22,53,65,75
ENSG00000133134,0,0,0,0,0,0,0,0
ENSG00000133135,1,4,6,1,3,1,3,0
ENSG00000133138,19,28,21,24,24,35,23,31
ENSG00000133142,150,468,284,221,198,267,210,360
ENSG00000133169,1,0,0,6,4,3,5,3
ENSG00000133193,77,144,55,62,75,75,71,56
ENSG00000133195,43,83,22,26,46,45,41,39
ENSG00000133216,73,140,126,77,25,28,30,42
ENSG00000133226,509,1089,1026,639,465,811,692,883
ENSG00000133243,76,172,70,49,75,90,59,63
ENSG00000133246,0,0,0,0,0,0,0,0
ENSG00000133247,4,7,14,3,4,6,1,5
ENSG00000133250,17,48,12,14,26,14,18,34
ENSG00000133256,0,0,0,0,0,0,0,4
ENSG00000133265,52,81,43,30,52,42,39,35
ENSG00000133275,64,173,101,77,70,100,81,119
ENSG00000133302,6,43,40,31,12,27,34,43
ENSG00000133313,42,113,64,42,51,46,40,31
ENSG00000133315,3,15,7,3,6,13,4,4
ENSG00000133316,10,64,10,11,14,14,8,17
ENSG00000133317,0,0,0,0,0,0,0,0
ENSG00000133318,160,418,165,152,203,188,142,216
ENSG00000133321,13,47,17,6,51,22,18,52
ENSG00000133328,0,0,0,0,0,0,0,0
ENSG00000133392,0,0,3,0,0,10,2,2
ENSG00000133393,59,156,90,61,57,63,66,51
ENSG00000133398,47,112,100,77,49,60,56,83
ENSG00000133401,0,0,0,0,0,0,0,0
ENSG00000133422,7,46,15,35,28,8,16,9
ENSG00000133424,14,43,15,11,17,8,5,16
ENSG00000133433,0,0,0,0,0,0,0,0
ENSG00000133454,0,0,0,0,0,0,0,0
ENSG00000133460,21,65,19,12,20,20,15,17
ENSG00000133466,1,6,2,0,15,18,7,10
ENSG00000133475,0,0,0,0,0,0,0,0
ENSG00000133477,0,0,0,0,0,0,0,0
ENSG00000133488,0,0,0,0,0,0,0,0
ENSG00000133561,0,0,0,0,0,0,0,0
ENSG00000133574,0,0,0,0,0,0,0,0
ENSG00000133597,12,51,8,3,18,22,9,15
ENSG00000133606,52,165,98,70,67,89,80,79
ENSG00000133612,85,237,73,35,123,115,108,145
ENSG00000133619,5,16,8,10,7,12,3,13
ENSG00000133627,11,12,8,5,9,5,9,10
ENSG00000133636,0,0,0,0,0,0,0,0
ENSG00000133639,222,429,336,210,163,246,204,355
ENSG00000133640,0,0,0,0,3,0,0,0
ENSG00000133641,11,30,25,28,12,16,24,8
ENSG00000133657,70,209,158,166,45,87,101,114
ENSG00000133661,0,0,0,0,0,0,0,0
ENSG00000133665,0,0,0,0,0,0,0,0
ENSG00000133678,29,37,11,8,17,17,7,18
ENSG00000133687,74,234,152,84,56,121,85,102
ENSG00000133703,72,188,141,66,84,94,100,98
ENSG00000133704,50,113,81,68,48,56,89,86
ENSG00000133706,75,194,237,114,107,148,133,190
ENSG00000133710,0,0,0,0,0,0,0,0
ENSG00000133731,17,87,35,33,11,12,10,9
ENSG00000133739,38,65,59,43,26,29,43,52
ENSG00000133740,1,5,3,2,3,1,1,2
ENSG00000133742,0,0,0,0,0,0,0,0
ENSG00000133773,71,229,152,90,81,117,105,138
ENSG00000133789,50,162,109,121,79,110,101,138
ENSG00000133794,0,12,28,11,6,9,15,9
ENSG00000133800,0,0,0,0,0,0,0,0
ENSG00000133805,26,22,43,16,10,10,11,14
ENSG00000133808,0,0,3,2,1,0,0,1
ENSG00000133812,36,91,58,50,52,47,38,68
ENSG00000133816,169,461,277,193,284,365,270,323
ENSG00000133818,94,237,116,65,79,95,117,94
ENSG00000133835,32,74,93,40,35,61,55,55
ENSG00000133858,158,320,123,102,190,177,166,165
ENSG00000133863,0,0,0,0,0,0,1,2
ENSG00000133872,58,222,77,68,79,83,91,98
ENSG00000133874,2,0,0,0,0,0,0,2
ENSG00000133878,0,0,0,1,0,0,0,0
ENSG00000133884,39,108,50,30,48,40,46,48
ENSG00000133895,44,99,38,22,65,50,39,60
ENSG00000133935,27,47,29,21,45,48,32,43
ENSG00000133937,0,0,0,0,0,0,0,0
ENSG00000133943,19,47,14,28,39,32,27,46
ENSG00000133958,0,0,0,3,3,0,2,1
ENSG00000133961,67,161,93,65,72,80,61,75
ENSG00000133962,0,0,0,0,0,0,0,0
ENSG00000133980,0,0,0,0,0,0,0,0
ENSG00000133983,33,49,104,94,20,50,69,82
ENSG00000133985,2,0,0,0,4,2,2,0
ENSG00000133997,29,59,50,20,34,43,26,19
ENSG00000134001,99,225,131,106,98,90,94,108
ENSG00000134007,0,0,0,0,2,0,1,0
ENSG00000134013,105,248,137,132,191,258,229,237
ENSG00000134014,20,88,36,17,15,29,24,29
ENSG00000134020,0,0,0,0,0,0,0,0
ENSG00000134028,0,0,0,0,0,0,0,0
ENSG00000134030,45,52,54,33,55,28,31,31
ENSG00000134042,0,0,0,0,0,0,0,0
ENSG00000134046,97,247,214,166,108,145,129,194
ENSG00000134049,74,233,95,79,84,72,75,75
ENSG00000134056,24,112,66,85,34,40,47,28
ENSG00000134057,74,310,232,171,77,94,100,112
ENSG00000134058,12,59,33,50,16,22,26,27
ENSG00000134061,0,0,0,0,1,0,0,1
ENSG00000134070,1,2,7,1,2,2,1,1
ENSG00000134072,75,242,64,92,104,57,59,72
ENSG00000134077,26,112,42,59,35,61,50,63
ENSG00000134086,45,87,52,15,50,40,36,53
ENSG00000134107,0,2,7,1,3,4,3,2
ENSG00000134108,90,233,199,116,90,106,76,120
ENSG00000134109,9,20,27,15,1,16,11,10
ENSG00000134115,0,0,0,0,0,0,0,0
ENSG00000134121,0,0,0,0,0,0,1,0
ENSG00000134138,50,151,117,82,85,131,129,126
ENSG00000134146,3,17,19,9,5,5,5,6
ENSG00000134152,29,61,57,43,48,27,32,37
ENSG00000134153,64,278,126,86,51,71,90,35
ENSG00000134160,0,0,0,0,0,0,0,0
ENSG00000134183,0,0,0,0,0,0,0,0
ENSG00000134184,0,1,0,0,1,1,6,3
ENSG00000134186,176,477,317,215,266,304,248,329
ENSG00000134193,0,0,0,0,0,0,0,0
ENSG00000134198,0,0,0,0,11,7,8,5
ENSG00000134200,0,0,0,0,0,0,0,0
ENSG00000134201,5,16,6,4,49,51,60,55
ENSG00000134202,9,37,13,20,127,93,97,112
ENSG00000134207,0,0,0,0,0,0,0,0
ENSG00000134215,0,0,0,0,0,0,0,0
ENSG00000134216,0,0,0,0,0,0,0,0
ENSG00000134222,22,54,40,38,34,33,26,23
ENSG00000134240,0,0,0,0,0,0,0,0
ENSG00000134242,0,0,0,0,0,0,0,1
ENSG00000134243,12,60,15,23,47,24,30,43
ENSG00000134245,0,15,3,0,1,14,4,3
ENSG00000134247,0,0,18,0,0,2,1,1
ENSG00000134248,171,548,162,91,192,142,125,152
ENSG00000134249,0,0,0,0,0,0,0,0
ENSG00000134250,67,175,98,93,58,101,73,75
ENSG00000134253,6,12,13,3,8,10,7,5
ENSG00000134255,21,42,76,23,19,27,27,43
ENSG00000134256,0,0,0,0,0,0,0,0
ENSG00000134258,0,2,0,0,0,0,0,0
ENSG00000134259,2,7,2,2,8,2,1,3
ENSG00000134262,9,40,24,5,13,22,17,8
ENSG00000134265,22,45,46,42,25,41,45,57
ENSG00000134278,43,109,40,65,63,66,38,75
ENSG00000134283,162,312,212,162,173,166,182,249
ENSG00000134285,14,18,12,6,10,21,21,20
ENSG00000134287,176,511,234,142,217,203,168,219
ENSG00000134291,42,84,58,42,31,34,42,37
ENSG00000134294,788,1397,645,571,1082,1137,1006,1322
ENSG00000134308,304,1080,386,283,392,389,296,337
ENSG00000134313,58,148,114,106,85,122,121,172
ENSG00000134317,0,0,0,0,1,2,0,0
ENSG00000134318,259,491,534,354,280,428,384,598
ENSG00000134321,0,0,0,0,0,0,0,0
ENSG00000134323,0,0,0,0,0,0,0,0
ENSG00000134324,108,226,100,58,188,185,149,170
ENSG00000134326,0,0,0,0,0,0,0,0
ENSG00000134330,72,194,79,45,97,80,67,83
ENSG00000134333,686,2050,843,640,669,799,823,730
ENSG00000134339,0,0,0,0,0,0,0,0
ENSG00000134343,0,0,0,0,1,3,3,1
ENSG00000134352,231,606,568,323,297,559,475,596
ENSG00000134363,594,1621,882,630,1143,1520,1203,1396
ENSG00000134365,0,0,0,0,0,0,0,0
ENSG00000134369,617,1148,835,602,331,341,329,488
ENSG00000134371,106,191,118,97,97,105,106,139
ENSG00000134375,98,274,120,108,98,91,79,105
ENSG00000134376,0,0,6,0,0,0,0,0
ENSG00000134389,0,0,0,0,0,0,0,0
ENSG00000134398,0,0,0,0,0,0,0,0
ENSG00000134419,614,2070,975,757,887,1129,1259,1225
ENSG00000134438,0,0,0,0,0,0,0,0
ENSG00000134440,172,382,314,245,185,224,230,323
ENSG00000134443,0,0,0,0,0,0,0,0
ENSG00000134444,26,32,13,24,18,16,16,14
ENSG00000134452,60,120,98,59,56,47,36,59
ENSG00000134453,224,604,312,237,167,163,150,184
